             Time,          Y-Force,   Work integrand
                0,  3.437849045e-07,                0
           0.0025,  -0.001694020048, -1.586158614e-08
            0.005,  -0.006115778733, -2.287683482e-07
           0.0075,   -0.01234771383, -1.037931461e-06
             0.01,   -0.01951005511, -2.911875725e-06
           0.0125,    -0.0268661314, -6.257394862e-06
            0.015,    -0.0339605388, -1.137571923e-05
           0.0175,   -0.04065068876, -1.851051344e-05
             0.02,   -0.04697213342, -2.790144725e-05
           0.0225,    -0.0530239426, -3.981207453e-05
            0.025,   -0.05892179512, -5.454869314e-05
           0.0275,   -0.06476096181, -7.245309683e-05
             0.03,   -0.07059802443, -9.387772299e-05
           0.0325,   -0.07645644456, -0.0001191672246
            0.035,   -0.08233852001, -0.0001486493325
           0.0375,   -0.08823531636, -0.0001826315948
             0.04,   -0.09413460584, -0.0002214045929
           0.0425,      -0.10002612, -0.0002652493431
            0.045,    -0.1059033648, -0.0003144436375
           0.0475,    -0.1117633712, -0.0003692657419
             0.05,    -0.1176057285, -0.0004299959447
           0.0525,    -0.1234314348, -0.0004969161525
            0.055,    -0.1292419219,  -0.000570308252
           0.0575,    -0.1350384613, -0.0006504523107
             0.06,    -0.1408219265, -0.0007376252509
           0.0625,    -0.1465927752, -0.0008321001032
            0.065,    -0.1523511462, -0.0009341458137
           0.0675,    -0.1580969958,  -0.001044027478
             0.07,    -0.1638302097,   -0.00116200672
           0.0725,    -0.1695506773,   -0.00128834208
            0.075,    -0.1752583276,  -0.001423289309
           0.0775,     -0.180953133,   -0.00156710149
             0.08,    -0.1866351052,  -0.001720029129
           0.0825,    -0.1923042781,  -0.001882320096
            0.085,    -0.1979606971,  -0.002054219595
           0.0875,    -0.2036044092,  -0.002235970101
             0.09,    -0.2092354597,  -0.002427811347
           0.0925,    -0.2148538904,  -0.002629980313
            0.095,    -0.2204597413,  -0.002842711245
           0.0975,    -0.2260530509,  -0.003066235681
              0.1,     -0.231633858,  -0.003300782477
           0.1025,    -0.2372022048,  -0.003546577874
            0.105,    -0.2427581335,  -0.003803845469
           0.1075,    -0.2483016897,  -0.004072806293
             0.11,    -0.2538329214,  -0.004353678809
           0.1125,    -0.2593518782,  -0.004646678939
            0.115,     -0.264858612,  -0.004952020085
           0.1175,    -0.2703531775,  -0.005269913173
             0.12,    -0.2758356291,  -0.005600566614
           0.1225,     -0.281306024,  -0.005944186389
            0.125,    -0.2867644196,  -0.006300976016
           0.1275,    -0.2922108769,  -0.006671136652
             0.13,    -0.2976454571,  -0.007054867036
           0.1325,    -0.3030682233,  -0.007452363557
            0.135,    -0.3084792398,  -0.007863820261
           0.1375,    -0.3138785716,  -0.008289428858
             0.14,    -0.3192662868,  -0.008729378815
           0.1425,    -0.3246424537,  -0.009183857295
            0.145,     -0.330007142,  -0.009653049222
           0.1475,    -0.3353604224,    -0.0101371373
             0.15,    -0.3407023672,   -0.01063630203
           0.1525,    -0.3460330495,   -0.01115072173
            0.155,     -0.351352544,   -0.01168057259
           0.1575,    -0.3566609261,   -0.01222602865
             0.16,     -0.361958273,   -0.01278726187
           0.1625,    -0.3672446619,   -0.01336444209
            0.165,    -0.3725201717,   -0.01395773713
           0.1675,     -0.377784882,   -0.01456731274
             0.17,    -0.3830388735,   -0.01519333268
           0.1725,    -0.3882822278,   -0.01583595871
            0.175,    -0.3935150275,   -0.01649535062
           0.1775,    -0.3987373561,    -0.0171716663
             0.18,    -0.4039492981,   -0.01786506166
           0.1825,    -0.4091509385,   -0.01857569075
            0.185,    -0.4143423633,   -0.01930370572
           0.1875,    -0.4195236593,   -0.02004925691
             0.19,    -0.4246949143,    -0.0208124928
           0.1925,    -0.4298562166,   -0.02159356006
