             Time,          Y-Force,   Work integrand
                0,  3.150717796e-07,                0
            0.005,  -0.006091907617, -2.278754194e-07
             0.01,   -0.01942374574, -2.898994052e-06
            0.015,   -0.03397883629, -1.138184832e-05
             0.02,   -0.04711131581, -2.798412159e-05
            0.025,   -0.05908389379, -5.469876105e-05
             0.03,   -0.07072994988, -9.405315085e-05
            0.035,   -0.08244010217, -0.0001488327232
             0.04,   -0.09422817202, -0.0002216246606
            0.045,    -0.1060010228, -0.0003147335994
             0.05,    -0.1177078834, -0.0004303694488
            0.055,     -0.129344815, -0.0005707622904
             0.06,    -0.1409233041,  -0.000738156267
            0.065,    -0.1524508071, -0.0009347568877
             0.07,    -0.1639286964,  -0.001162705261
            0.075,    -0.1753560011,  -0.001424082525
             0.08,    -0.1867320056,  -0.001720922164
            0.085,    -0.1980567388,  -0.002055216211
             0.09,    -0.2093305786,  -0.002428915036
            0.095,    -0.2205539228,  -0.002843925666
              0.1,    -0.2317271117,  -0.003302111341
            0.105,    -0.2428504691,  -0.003805292302
             0.11,    -0.2539243464,  -0.004355246909
            0.115,    -0.2649491341,  -0.004953712563
             0.12,    -0.2759252569,  -0.005602386417
            0.125,    -0.2868531672,  -0.006302926038
             0.13,    -0.2977333419,  -0.007056950103
            0.135,    -0.3085662812,  -0.007866039138
             0.14,    -0.3193525079,  -0.008731736271
            0.145,    -0.3300925671,  -0.009655547995
             0.15,     -0.340787024,   -0.01063894491
            0.155,    -0.3514364636,   -0.01168336246
             0.16,    -0.3620414887,   -0.01279020171
            0.165,    -0.3726027197,   -0.01396083007
             0.17,    -0.3831207934,   -0.01519658205
            0.175,    -0.3935963634,   -0.01649876006
             0.18,    -0.4040300993,   -0.01786863517
            0.185,    -0.4144226857,   -0.01930744785
             0.19,    -0.4247748142,   -0.02081640835
            0.195,    -0.4350871685,   -0.02239669665
              0.2,    -0.4453604086,   -0.02404946207
            0.205,    -0.4555951712,   -0.02577582359
             0.21,    -0.4657921041,   -0.02757687218
            0.215,    -0.4759519259,   -0.02945367512
             0.22,    -0.4860754636,      -0.03140728
            0.225,    -0.4961636213,   -0.03343871468
             0.23,    -0.5062172913,   -0.03554898273
            0.235,    -0.5162372812,    -0.0377390586
             0.24,    -0.5262243236,   -0.04000988777
            0.245,    -0.5361791494,   -0.04236239197
             0.25,    -0.5461025446,   -0.04479747436
            0.255,    -0.5559953454,   -0.04731602051
             0.26,    -0.5658583987,   -0.04991889622
            0.265,    -0.5756925424,   -0.05260694644
             0.27,    -0.5854986127,    -0.0553809964
            0.275,    -0.5952774572,    -0.0582418534
             0.28,    -0.6050299372,   -0.06119030773
            0.285,    -0.6147569231,   -0.06422713298
             0.29,     -0.624459293,   -0.06735308654
            0.295,    -0.6341379336,   -0.07056891038
              0.3,    -0.6437937416,   -0.07387533185
            0.305,    -0.6534276245,   -0.07727306444
             0.31,    -0.6630405004,   -0.08076280848
            0.315,    -0.6726332976,   -0.08434525173
             0.32,     -0.682206955,   -0.08802107016
            0.325,    -0.6917624245,    -0.0917909289
             0.33,    -0.7013006699,    -0.0956554828
            0.335,     -0.710822668,    -0.0996153773
             0.34,     -0.720329408,    -0.1036712491
            0.345,    -0.7298218923,    -0.1078237267
             0.35,    -0.7393011379,    -0.1120734319
            0.355,    -0.7487681768,    -0.1164209798
             0.36,    -0.7582240558,    -0.1208669803
            0.365,    -0.7676698362,    -0.1254120381
             0.37,    -0.7771065931,    -0.1300567537
            0.375,    -0.7865354179,    -0.1348017245
             0.38,     -0.795957419,    -0.1396475453
            0.385,    -0.8053737213,    -0.1445948096
             0.39,     -0.814785465,    -0.1496441096
            0.395,     -0.824193804,    -0.1547960366
              0.4,    -0.8335999077,    -0.1600511823
            0.405,    -0.8430049624,    -0.1654101397
             0.41,    -0.8524101702,    -0.1708735034
            0.415,    -0.8618167476,    -0.1764418704
             0.42,     -0.871225925,      -0.18211584
            0.425,    -0.8806389456,     -0.187896015
             0.43,    -0.8900570655,    -0.1937830018
            0.435,     -0.899481554,     -0.199777411
             0.44,      -0.90891369,    -0.2058798578
            0.445,    -0.9183547636,    -0.2120909619
             0.45,    -0.9278060744,    -0.2184113487
            0.455,    -0.9372689285,    -0.2248416483
             0.46,    -0.9467446378,     -0.231382496
            0.465,    -0.9562345198,    -0.2380345327
             0.47,    -0.9657398952,    -0.2447984044
            0.475,    -0.9752620861,    -0.2516747625
             0.48,    -0.9848024136,    -0.2586642628
            0.485,    -0.9943621961,    -0.2657675656
             0.49,     -1.003942748,    -0.2729853353
            0.495,     -1.013545376,    -0.2803182401
              0.5,     -1.023171382,    -0.2877669511
            0.505,     -1.032822053,    -0.2953321417
             0.51,     -1.042498663,    -0.3030144858
            0.515,     -1.052202469,    -0.3108146578
             0.52,      -1.06193471,    -0.3187333316
            0.525,     -1.071696608,    -0.3267711802
             0.53,     -1.081489362,    -0.3349288738
            0.535,     -1.091314141,    -0.3432070773
             0.54,     -1.101172085,    -0.3516064491
            0.545,     -1.111064302,    -0.3601276404
             0.55,     -1.120991874,    -0.3687712955
            0.555,     -1.130955848,    -0.3775380491
             0.56,     -1.140957233,    -0.3864285234
            0.565,     -1.150996994,    -0.3954433254
             0.57,     -1.161076052,    -0.4045830461
