             Time,          Y-Force,   Work integrand
                0,  1.495180942e-05,                0
             0.02,     0.1332296565, -0.0006887699285
             0.04,     0.2640278757,  -0.004634667033
             0.06,     0.3874716532,   -0.01388368925
             0.08,     0.5104125898,   -0.02937361152
              0.1,     0.6311217708,   -0.05131299495
             0.12,     0.7518363194,   -0.07948485667
             0.14,     0.8743504651,    -0.1134991154
             0.16,      1.001204719,    -0.1530555872
             0.18,      1.135276121,    -0.1981141748
              0.2,      1.279611586,    -0.2489730788
             0.22,      1.436867763,    -0.3061549488
             0.24,      1.608686376,    -0.3701263917
             0.26,      1.795422375,    -0.4410255283
             0.28,      1.996274667,    -0.5185263414
              0.3,      2.209260415,      -0.60169693
             0.32,      2.430893629,    -0.6887632867
             0.34,      2.656141381,    -0.7770115674
             0.36,      2.878812397,    -0.8629554356
             0.38,      3.092060342,    -0.9426408721
              0.4,      3.288876217,     -1.011984709
             0.42,      3.462594683,     -1.067116398
             0.44,      3.607406391,     -1.104710071
             0.46,      3.718817801,     -1.122277582
             0.48,      3.793867667,     -1.118281705
              0.5,      3.831148747,     -1.092103703
             0.52,      3.830798479,     -1.043993463
             0.54,      3.794369831,    -0.9749571341
             0.56,      3.724568563,    -0.8865670029
             0.58,      3.624997097,    -0.7807952963
              0.6,      3.499949775,    -0.6599126537
             0.62,      3.354217083,    -0.5264126141
             0.64,      3.192891558,    -0.3829523758
             0.66,      3.021179896,    -0.2323112321
             0.68,      2.844205045,   -0.07734798133
              0.7,      2.666805231,    0.07904054515
             0.72,      2.493339561,     0.2339478276
             0.74,      2.327503798,     0.3844847947
             0.76,      2.172184764,     0.5278040645
             0.78,      2.029341214,     0.6611137669
              0.8,      1.899940087,     0.7816687873
             0.82,      1.783971781,     0.8867503556
             0.84,      1.680559293,     0.9736604151
             0.86,      1.588164301,      1.039792835
             0.88,       1.50491005,      1.082814267
              0.9,      1.428913912,      1.100979834
             0.92,      1.358554526,      1.093543004
             0.94,      1.292690348,      1.061167781
             0.96,      1.230669224,      1.005880162
             0.98,      1.171950726,     0.9302799834
                1,      1.115656838,     0.8367426288
             1.02,      1.060538116,     0.7271465761
             1.04,      1.005147344,     0.6027353492
             1.06,     0.9478877036,     0.4638186826
             1.08,     0.8867687786,      0.309434889
              1.1,     0.8189731419,     0.1371238144
             1.12,     0.7406696232,   -0.05721761959
             1.14,     0.6472407995,    -0.2794940598
             1.16,     0.5333663359,    -0.5374120429
             1.18,     0.3933079629,    -0.8395344332
              1.2,     0.2217216984,     -1.192887439
             1.22,    0.01504238023,     -1.599638755
             1.24,    -0.2274818258,      -2.05491832
             1.26,    -0.5038837546,     -2.547729104
             1.28,    -0.8103869356,     -3.064196072
              1.3,     -1.142038449,     -3.589788575
             1.32,     -1.492534566,     -4.109218689
             1.34,     -1.853984485,     -4.606086541
             1.36,     -2.217137989,     -5.063625496
             1.38,     -2.571870456,     -5.465809078
              1.4,     -2.907782132,      -5.79822306
             1.42,     -3.214743535,     -6.048665123
             1.44,     -3.483273735,     -6.207598705
             1.46,     -3.704964082,     -6.268717231
             1.48,     -3.872974672,     -6.229374152
              1.5,     -3.982401986,      -6.09073714
             1.52,     -4.030407108,     -5.857807905
             1.54,     -4.016263143,     -5.539169545
             1.56,     -3.941341944,     -5.146450736
             1.58,      -3.80892041,      -4.69356573
              1.6,     -3.623833503,     -4.195987968
             1.62,      -3.39215911,      -3.67009287
             1.64,     -3.120965412,     -3.132494426
             1.66,     -2.817982707,     -2.599324165
             1.68,     -2.491282165,     -2.085584183
              1.7,     -2.148982931,     -1.604560849
             1.72,     -1.799027328,     -1.167332517
             1.74,     -1.448929071,    -0.7823470361
             1.76,     -1.105541262,    -0.4551506033
             1.78,    -0.7748180913,    -0.1882865441
              1.8,    -0.4616217149,    0.01861725782
             1.82,    -0.1695804175,     0.1685653854
             1.84,    0.09897522474,     0.2667111906
             1.86,     0.3428716364,     0.3196642437
             1.88,     0.5617772058,     0.3347324127
              1.9,     0.7557252614,     0.3192434328
             1.92,     0.9246331832,     0.2800875978
             1.94,      1.068043346,     0.2235114807
             1.96,      1.185011932,     0.1550124385
             1.98,      1.273643619,    0.07922908084
                2,      1.330266826,  3.513177316e-14
              nan,      1.001221524,     -2.295770863
