             Time,          Y-Force,   Work integrand
                0, -4.579799486e-06,                0
             0.02,    0.01535989436, -0.0001465855758
             0.04,    0.05724452071,  -0.001972455067
             0.06,      0.120801815,  -0.008340791437
             0.08,     0.2020731284,   -0.02186440642
              0.1,     0.2978345293,   -0.04398606102
             0.12,     0.4056829618,    -0.0747537117
             0.14,     0.5241192014,     -0.113106558
             0.16,     0.6525093399,    -0.1574700908
             0.18,     0.7908615547,    -0.2064320644
              0.2,     0.9393556136,    -0.2592331863
             0.22,       1.09774376,     -0.315872548
             0.24,      1.265060888,    -0.3769104192
             0.26,      1.439875953,    -0.4431995231
             0.28,      1.620720289,     -0.515552112
              0.3,      1.806279685,    -0.5943008212
             0.32,      1.995269908,    -0.6789100065
             0.34,      2.186109043,     -0.767773637
             0.36,      2.376628746,    -0.8582446285
             0.38,      2.563973623,    -0.9468814692
              0.4,      2.744624794,     -1.029799404
             0.42,       2.91452701,     -1.103070358
             0.44,      3.069247985,     -1.163041031
             0.46,      3.204186368,     -1.206521699
             0.48,      3.314992864,     -1.231059196
              0.5,       3.39795084,     -1.235077258
             0.52,      3.450174546,      -1.21775265
             0.54,      3.469786926,     -1.178861195
             0.56,      3.456159373,     -1.118750192
             0.58,       3.41012703,     -1.038468807
              0.6,       3.33387783,    -0.9395568334
             0.62,      3.230781712,    -0.8239030164
             0.64,      3.105199136,    -0.6937690275
             0.66,      2.962098856,    -0.5515302403
             0.68,      2.806758004,    -0.3997249477
              0.7,      2.644472209,    -0.2411627052
             0.72,      2.480205756,   -0.07873300269
             0.74,      2.318418465,    0.08437765551
             0.76,      2.162904941,     0.2445260983
             0.78,      2.016535444,     0.3980243024
              0.8,      1.881161807,     0.5413257621
             0.82,      1.757738093,     0.6707244279
             0.84,      1.646437312,     0.7825083476
             0.86,      1.546788388,     0.8735114294
             0.88,        1.4579296,     0.9411485982
              0.9,      1.378831565,     0.9834420194
             0.92,       1.30841669,     0.9995452265
             0.94,       1.24564504,     0.9898033722
             0.96,      1.189523738,     0.9552805067
             0.98,      1.138994783,     0.8977416803
                1,      1.092815981,     0.8196119861
             1.02,      1.049588468,     0.7233185932
             1.04,      1.007943469,     0.6111660762
             1.06,      0.966455926,     0.4856027896
             1.08,     0.9234576293,      0.348381206
              1.1,      0.877175278,     0.1993233642
             1.12,     0.8252136559,    0.03603437265
             1.14,     0.7649534672,    -0.1446268961
             1.16,     0.6937215654,    -0.3460557277
             1.18,     0.6081419519,    -0.5732147806
              1.2,     0.5043881487,     -0.832592767
             1.22,     0.3785931849,     -1.130131542
             1.24,     0.2273942169,     -1.469042113
             1.26,    0.04818060104,     -1.848977147
             1.28,    -0.1608389256,     -2.265285604
              1.3,    -0.3994376558,     -2.708270682
             1.32,    -0.6655711888,     -3.165776617
             1.34,    -0.9565737962,     -3.626265096
             1.36,       -1.2684754,     -4.077103813
             1.38,     -1.595286957,     -4.502457823
              1.4,     -1.929490628,     -4.885768573
             1.42,     -2.262312352,     -5.212755867
             1.44,     -2.584051874,     -5.471429522
             1.46,      -2.88482577,      -5.65184913
             1.48,     -3.155908614,     -5.748959742
              1.5,     -3.390352306,     -5.762879202
             1.52,     -3.580884787,     -5.692694084
             1.54,     -3.720279099,     -5.536870849
             1.56,     -3.804736838,     -5.300552763
             1.58,     -3.833396712,     -4.994723292
              1.6,     -3.806873558,      -4.63124588
             1.62,     -3.726271458,     -4.220168346
             1.64,      -3.59248896,     -3.770663786
             1.66,     -3.408981232,     -3.296042167
             1.68,     -3.180424762,     -2.811458126
              1.7,     -2.910362002,     -2.329285717
             1.72,     -2.603658417,     -1.861566427
             1.74,     -2.266471158,     -1.420901317
             1.76,     -1.906252656,     -1.018690051
             1.78,     -1.529953969,    -0.6628549764
              1.8,     -1.144522233,    -0.3596770036
             1.82,    -0.7595585812,    -0.1149327228
             1.84,    -0.3833628007,    0.07009176784
             1.86,   -0.02127857578,      0.198588689
             1.88,     0.3223607022,     0.2755129609
              1.9,     0.6426859651,     0.3063452911
             1.92,     0.9350221545,     0.2973630114
             1.94,      1.195666876,     0.2554881991
             1.96,      1.422047261,     0.1877652926
             1.98,      1.613227924,     0.1007729028
                2,      1.766762529,  5.215345239e-14
              nan,     0.8787244623,     -2.296191462
