             Time,          Y-Force,   Work integrand
                0, -1.014633023e-06,                0
             0.02,  -0.005682138321, -3.375190162e-06
             0.04,   -0.02173886486, -5.112981016e-05
             0.06,   -0.04674006398, -0.0002448244552
             0.08,   -0.07931088733, -0.0007309291376
              0.1,    -0.1181283054,  -0.001683328352
             0.12,    -0.1619292854,  -0.003287812211
             0.14,    -0.2095105851,  -0.005728438417
             0.16,    -0.2597317926,   -0.00917580477
             0.18,    -0.3115302982,   -0.01377773897
              0.2,    -0.3639584223,    -0.0196537548
             0.22,    -0.4162296198,   -0.02689426065
             0.24,    -0.4677354361,   -0.03556286068
             0.26,    -0.5180235972,    -0.0456990057
             0.28,    -0.5667764913,   -0.05732150722
              0.3,    -0.6138089097,   -0.07043457239
             0.32,    -0.6590592374,   -0.08503445904
             0.34,    -0.7025635296,    -0.1011143483
             0.36,    -0.7444291079,    -0.1186679552
             0.38,    -0.7848162534,    -0.1376928724
              0.4,    -0.8239250506,    -0.1581936097
             0.42,    -0.8619841899,    -0.1801840032
             0.44,    -0.8992398085,    -0.2036886075
             0.46,    -0.9359437064,      -0.22874277
             0.48,    -0.9723419064,    -0.2553914358
              0.5,     -1.008665442,    -0.2836871557
             0.52,     -1.045124698,    -0.3136879072
             0.54,     -1.081906945,    -0.3454550515
             0.56,     -1.119175561,    -0.3790513323
             0.58,     -1.157069618,    -0.4145387039
              0.6,     -1.195703487,     -0.451975918
             0.62,     -1.235166625,    -0.4914159826
             0.64,     -1.275523802,    -0.5329036405
             0.66,     -1.316815813,     -0.576472993
             0.68,     -1.359060647,    -0.6221453466
              0.7,     -1.402254934,    -0.6699272947
             0.72,     -1.446375463,    -0.7198089983
             0.74,     -1.491380557,    -0.7717625935
             0.76,     -1.537211159,    -0.8257406439
             0.78,     -1.583791484,    -0.8816745462
              0.8,     -1.631029176,    -0.9394728054
             0.82,     -1.678814904,    -0.9990191003
             0.84,     -1.727021391,     -1.060170075
             0.86,     -1.775501857,     -1.122752803
             0.88,     -1.824087916,     -1.186561893
              0.9,     -1.872586977,     -1.251356248
             0.92,     -1.920779336,      -1.31685558
             0.94,     -1.968415236,     -1.382736903
             0.96,     -2.015212341,     -1.448631361
             0.98,     -2.060854159,     -1.514121916
                1,     -2.104990055,     -1.578742541
             1.02,     -2.147237586,     -1.641979698
             1.04,     -2.187187944,     -1.703276986
             1.06,      -2.22441546,     -1.762044014
             1.08,     -2.258491981,     -1.817670482
              1.1,     -2.289006376,     -1.869545957
             1.12,     -2.315587845,     -1.917084439
             1.14,     -2.337929067,     -1.959750337
             1.16,     -2.355802619,     -1.997079843
             1.18,     -2.369063292,     -2.028690492
              1.2,     -2.377632073,     -2.054274112
             1.22,     -2.381464405,     -2.073574398
             1.24,     -2.380512787,     -2.086357583
             1.26,     -2.374697427,     -2.092388648
             1.28,     -2.363895751,     -2.091423671
              1.3,     -2.347953174,     -2.083221454
             1.32,     -2.326707953,     -2.067568528
             1.34,     -2.300017564,     -2.044306211
             1.36,     -2.267775565,     -2.013349289
             1.38,     -2.229914814,     -1.974692144
              1.4,     -2.186400376,     -1.928405131
             1.42,     -2.137219419,     -1.874627818
             1.44,     -2.082374151,     -1.813564636
             1.46,     -2.021879901,     -1.745484875
             1.48,      -1.95576697,     -1.670725668
              1.5,     -1.884083494,     -1.589695448
             1.52,     -1.806897301,     -1.502875989
             1.54,     -1.724296016,     -1.410822449
             1.56,     -1.636385875,     -1.314161859
             1.58,     -1.543290098,     -1.213590861
              1.6,     -1.445147483,     -1.109873267
             1.62,     -1.342111647,     -1.003837775
             1.64,        -1.234351,    -0.8963758212
             1.66,     -1.122049156,    -0.7884392566
             1.68,     -1.005405217,    -0.6810373639
              1.7,    -0.8846332337,    -0.5752327602
             1.72,    -0.7599602268,    -0.4721359304
             1.74,    -0.6316223104,    -0.3728984429
             1.76,    -0.4998587672,    -0.2787052531
             1.78,    -0.3649040972,    -0.1907667534
              1.8,    -0.2269781526,    -0.1103113822
             1.82,   -0.08627437484,   -0.03857965729
             1.84,    0.05705405621,    0.02317946552
             1.86,      0.202910753,    0.07370895432
             1.88,     0.3512764773,     0.1117396423
              1.9,     0.5022349858,     0.1359801224
             1.92,     0.6560061308,       0.14509806
             1.94,     0.8129869029,     0.1376890878
             1.96,     0.9737976674,     0.1122282336
             1.98,      1.139322152,    0.06699897849
                2,      1.310720507, -4.947653091e-15
              nan,     -2.369200437,     -1.657749343
