             Time,          Y-Force,   Work integrand
                0,  1.204449194e-05,                0
            0.004,  -0.000224751744, -5.383253773e-09
            0.008,  -0.000923345365, -8.828659042e-08
            0.012,  -0.002070760936,  -4.44600656e-07
            0.016,  -0.003656547667,  -1.39288139e-06
             0.02,  -0.005668895615, -3.367323995e-06
            0.024,  -0.008096245172, -6.911213959e-06
            0.028,   -0.01092703383,  -1.26702891e-05
            0.032,    -0.0141496014, -2.138604714e-05
            0.036,   -0.01775259801, -3.388985162e-05
             0.04,   -0.02172478254, -5.109668854e-05
            0.044,   -0.02605470966, -7.399829356e-05
            0.048,   -0.03073112625, -0.0001036578098
            0.052,   -0.03574298621, -0.0001412042397
            0.056,   -0.04107926708, -0.0001878262399
             0.06,   -0.04672902129, -0.0002447666135
            0.064,   -0.05268136032, -0.0003133167009
            0.068,    -0.0589254998, -0.0003948112196
            0.072,   -0.06545079086, -0.0004906233171
            0.076,   -0.07224667858, -0.0006021593048
             0.08,   -0.07930267758, -0.0007308534766
            0.084,   -0.08660837839, -0.0008781632276
            0.088,    -0.0941534778,  -0.001045564579
            0.092,    -0.1019277933,  -0.001234547802
            0.096,    -0.1099212415,  -0.001446612782
              0.1,    -0.1181238168,   -0.00168326439
            0.104,     -0.126525596,  -0.001946008204
            0.108,    -0.1351167604,  -0.002236346687
            0.112,    -0.1438876099,  -0.002555775469
            0.116,    -0.1528285464,   -0.00290577928
             0.12,     -0.161930054,  -0.003287827817
            0.124,    -0.1711827033,   -0.00370337208
            0.128,    -0.1805771732,  -0.004153841272
            0.132,    -0.1901042628,  -0.004640639722
            0.136,    -0.1997548799,  -0.005165143428
             0.14,    -0.2095200252,  -0.005728696529
            0.144,    -0.2193907969,  -0.006332608288
            0.148,    -0.2293584075,   -0.00697815065
            0.152,    -0.2394141966,   -0.00766655588
            0.156,    -0.2495496276,  -0.008399013958
             0.16,    -0.2597562815,  -0.009176669914
            0.164,    -0.2700258584,   -0.01000062153
            0.168,    -0.2803501917,   -0.01087191764
            0.172,    -0.2907212685,   -0.01179155697
            0.176,    -0.3011312533,   -0.01276048745
             0.18,    -0.3115725228,   -0.01377960639
            0.184,    -0.3220377225,   -0.01484976224
            0.188,    -0.3325198418,   -0.01597175797
            0.192,     -0.343012283,   -0.01714635531
            0.196,    -0.3535088917,   -0.01837427793
              0.2,    -0.3640039342,   -0.01965621245
            0.204,    -0.3744920284,   -0.02099280676
            0.208,    -0.3849680587,   -0.02238466688
            0.212,    -0.3954271127,   -0.02383235412
            0.216,    -0.4058644566,   -0.02533638417
             0.22,    -0.4162755426,   -0.02689722791
            0.224,    -0.4266560239,   -0.02851531302
            0.228,    -0.4370017583,   -0.03019102511
            0.232,    -0.4473088056,   -0.03192470858
            0.236,    -0.4575734304,   -0.03371666794
             0.24,    -0.4677921128,   -0.03556716992
            0.244,     -0.477961564,   -0.03747644621
            0.248,    -0.4880787333,   -0.03944469586
            0.252,    -0.4981408068,   -0.04147208721
            0.256,    -0.5081452025,   -0.04355875962
             0.26,    -0.5180895691,    -0.0457048256
            0.264,    -0.5279717883,   -0.04791037332
            0.268,    -0.5377899798,   -0.05017546953
            0.272,    -0.5475424999,   -0.05250016206
            0.276,    -0.5572279348,   -0.05488448194
             0.28,    -0.5668450917,   -0.05732844519
            0.284,    -0.5763929852,   -0.05983205421
            0.288,    -0.5858708215,   -0.06239529873
            0.292,    -0.5952779843,   -0.06501815681
            0.296,    -0.6046140267,   -0.06770059636
              0.3,    -0.6138786693,   -0.07044257731
            0.304,    -0.6230717995,   -0.07324405396
            0.308,    -0.6321934634,    -0.0761049765
            0.312,    -0.6412438505,   -0.07902529159
            0.316,    -0.6502232762,   -0.08200494238
             0.32,    -0.6591321713,   -0.08504386927
            0.324,    -0.6679710808,   -0.08814201175
            0.328,    -0.6767406666,   -0.09129931072
            0.332,    -0.6854417035,   -0.09451571003
            0.336,    -0.6940750661,   -0.09779115672
             0.34,    -0.7026417152,    -0.1011256009
            0.344,    -0.7111426918,    -0.1045189967
            0.348,    -0.7195791184,    -0.1079713039
            0.352,    -0.7279522028,    -0.1114824905
            0.356,    -0.7362632353,    -0.1150525338
             0.36,    -0.7445135785,    -0.1186814205
            0.364,    -0.7527046576,    -0.1223691472
            0.368,     -0.760837957,    -0.1261157206
            0.372,    -0.7689150259,    -0.1299211606
            0.376,    -0.7769374829,    -0.1337855019
             0.38,    -0.7849070107,    -0.1377087954
            0.384,    -0.7928253391,    -0.1416911061
            0.388,    -0.8006942208,    -0.1457325103
            0.392,    -0.8085154184,    -0.1498330942
            0.396,    -0.8162907121,    -0.1539929555
              0.4,    -0.8240219259,    -0.1582122098
            0.404,     -0.831710956,    -0.1624909969
            0.408,    -0.8393597784,    -0.1668294843
            0.412,    -0.8469704287,    -0.1712278648
            0.416,    -0.8545449637,    -0.1756863503
             0.42,    -0.8620854244,    -0.1802051646
            0.424,    -0.8695938209,    -0.1847845407
