             Time,          Y-Force,   Work integrand
                0,  1.495180942e-05,                0
            0.005,  -0.006077961513, -2.273537477e-07
             0.01,   -0.01941201795, -2.897243678e-06
            0.015,   -0.03397046926, -1.137904562e-05
             0.02,   -0.04710653465, -2.798128158e-05
            0.025,   -0.05908234953,  -5.46973314e-05
             0.03,   -0.07073131895, -9.405497137e-05
            0.035,   -0.08244429233, -0.0001488402879
             0.04,    -0.0942352446, -0.0002216412953
            0.045,    -0.1060110548, -0.0003147633859
             0.05,    -0.1177209103, -0.0004304170783
            0.055,    -0.1293608434, -0.0005708330193
             0.06,    -0.1409423362, -0.0007382559572
            0.065,    -0.1524728487, -0.0009348920363
             0.07,    -0.1639537611,  -0.001162883039
            0.075,    -0.1753841045,  -0.001424310755
             0.08,    -0.1867631613,  -0.001721209295
            0.085,    -0.1980909588,  -0.002055571308
             0.09,    -0.2093678759,  -0.002429347806
            0.095,    -0.2205943132,  -0.002844446478
              0.1,    -0.2317706112,   -0.00330273121
            0.105,    -0.2428970922,  -0.003806022852
             0.11,    -0.2539741053,  -0.004356100361
            0.115,    -0.2650020433,  -0.004954701797
             0.12,    -0.2759813358,  -0.005603525042
            0.125,     -0.286912436,   -0.00630422833
             0.13,    -0.2977958176,  -0.007058430918
            0.135,    -0.3086319791,  -0.007867713924
             0.14,    -0.3194214431,  -0.008733621096
            0.145,    -0.3301647557,  -0.009657659586
             0.15,    -0.3408624874,   -0.01064130078
            0.155,    -0.3515152259,   -0.01168598088
             0.16,     -0.362123568,   -0.01279310141
            0.165,    -0.3726881233,   -0.01396403001
             0.17,    -0.3832095266,   -0.01520010168
            0.175,    -0.3936884431,   -0.01650261986
             0.18,    -0.4041255597,   -0.01787285701
            0.185,    -0.4145215707,   -0.01931205478
             0.19,    -0.4248771663,   -0.02082142419
            0.195,     -0.435193034,   -0.02240214622
              0.2,    -0.4454698521,   -0.02405537201
            0.205,    -0.4557082572,   -0.02578222157
             0.21,    -0.4659088429,   -0.02758378361
            0.215,    -0.4760722447,   -0.02946112089
             0.22,    -0.4861992513,   -0.03141527843
            0.225,    -0.4962908175,   -0.03344728701
             0.23,    -0.5063479468,   -0.03555815798
            0.235,    -0.5163715313,   -0.03774887283
             0.24,    -0.5263622818,   -0.04002037701
            0.245,    -0.5363208284,   -0.04237358573
             0.25,    -0.5462479045,   -0.04480939842
            0.255,    -0.5561444123,   -0.04732870632
             0.26,     -0.566011279,   -0.04993238301
            0.265,    -0.5758492849,   -0.05262126961
             0.27,     -0.585659114,   -0.05539617786
            0.275,    -0.5954415862,   -0.05825791176
             0.28,    -0.6051977395,   -0.06120727858
            0.285,    -0.6149286078,   -0.06424506985
             0.29,    -0.6246349878,   -0.06737203667
            0.295,    -0.6343175348,   -0.07058889698
              0.3,    -0.6439770686,   -0.07389636862
            0.305,    -0.6536146639,   -0.07729518335
             0.31,     -0.663231413,   -0.08078606291
            0.315,    -0.6728282008,   -0.08436969173
             0.32,    -0.6824057943,    -0.0880467252
