             Time,          Y-Force,   Work integrand
                0,  3.150717796e-07,                0
             0.02,   -0.04939238817, -2.933907857e-05
             0.04,   -0.09807321707, -0.0002306682065
             0.06,    -0.1439958599, -0.0007542503141
             0.08,    -0.1898424497,  -0.001749588016
              0.1,     -0.234621204,  -0.003343352157
             0.12,    -0.2786798371,  -0.005658315413
             0.14,    -0.3219717156,  -0.008803350648
             0.16,    -0.3645613887,   -0.01287922474
             0.18,    -0.4064792424,   -0.01797695098
              0.2,    -0.4477424805,   -0.02417809395
             0.22,    -0.4883622488,   -0.03155503835
             0.24,    -0.5283833751,   -0.04017404477
             0.26,    -0.5678875462,   -0.05009790355
             0.28,    -0.6069456498,   -0.06138405524
              0.3,    -0.6456008749,    -0.0740827004
             0.32,    -0.6839019122,   -0.08823976032
             0.34,    -0.7219127732,    -0.1038991301
             0.36,     -0.759697528,    -0.1211018635
             0.38,     -0.797321169,    -0.1398868098
              0.4,    -0.8348543814,    -0.1602920412
             0.42,    -0.8723717504,    -0.1823553565
             0.44,    -0.9099513286,    -0.2061148953
             0.46,    -0.9476745655,    -0.2316097684
             0.48,     -0.985625158,    -0.2588803615
              0.5,     -1.023887414,    -0.2879683353
             0.52,     -1.062544554,    -0.3189163726
             0.54,     -1.101676232,    -0.3517674242
             0.56,     -1.141356216,    -0.3865636542
             0.58,     -1.181649946,    -0.4233449995
              0.6,     -1.222612267,     -0.462147437
             0.62,     -1.264286305,    -0.5030013635
             0.64,     -1.306702425,    -0.5459298194
             0.66,     -1.349878462,    -0.5909470932
             0.68,     -1.393820383,    -0.6380575197
              0.7,     -1.438523368,    -0.6872545389
             0.72,     -1.483972858,    -0.7385198687
             0.74,     -1.530145239,    -0.7918226185
             0.76,     -1.577007805,    -0.8471181288
             0.78,     -1.624517768,    -0.9043462979
              0.8,     -1.672620016,    -0.9634291293
             0.82,     -1.721243385,     -1.024267186
             0.84,     -1.770295102,     -1.086734595
             0.86,     -1.819653169,     -1.150672239
             0.88,     -1.869156578,     -1.215878878
              0.9,     -1.918593652,     -1.282100208
             0.92,     -1.967689395,     -1.349016366
             0.94,      -2.01609349,     -1.416229065
             0.96,     -2.063371199,     -1.483250259
             0.98,     -2.109000805,     -1.549495545
                1,     -2.152380279,      -1.61428521
             1.02,     -2.192848413,     -1.676858024
             1.04,     -2.229726846,     -1.736404241
             1.06,     -2.262384176,     -1.792120476
             1.08,      -2.29031848,     -1.843284957
              1.1,     -2.313233042,     -1.889333087
             1.12,     -2.331064515,     -1.929897637
             1.14,     -2.343931009,     -1.964781417
             1.16,     -2.352012788,     -1.993867097
             1.18,     -2.355427498,     -2.017013807
              1.2,     -2.354165858,     -2.033999301
             1.22,       -2.3481082,     -2.044530683
             1.24,     -2.337092021,     -2.048302234
             1.26,     -2.320983218,     -2.045060091
             1.28,     -2.299717643,     -2.034642989
              1.3,     -2.273303993,     -2.016988968
             1.32,     -2.241798123,     -1.992115615
             1.34,     -2.205266448,     -1.960089335
             1.36,     -2.163752236,     -1.920996545
             1.38,     -2.117251064,     -1.874923211
              1.4,     -2.065697556,     -1.821945244
             1.42,     -2.008965157,     -1.762131644
             1.44,     -1.946880703,     -1.695561767
             1.46,     -1.879251812,      -1.62235433
             1.48,      -1.80590125,     -1.542701978
              1.5,     -1.726700602,     -1.456903633
             1.52,     -1.641596112,     -1.365387716
             1.54,     -1.550622663,     -1.268722564
             1.56,     -1.453905627,     -1.167614162
             1.58,     -1.351652921,     -1.062893901
              1.6,     -1.244140536,     -0.955499932
             1.62,     -1.131694733,    -0.8464556025
             1.64,     -1.014673574,    -0.7368478323
             1.66,     -0.893449492,    -0.6278073021
             1.68,     -0.768393521,    -0.5204913297
              1.7,    -0.6398612875,    -0.4160698022
             1.72,     -0.508180701,     -0.315714375
             1.74,    -0.3736410572,    -0.2205909546
             1.76,    -0.2364829688,    -0.1318553359
             1.78,   -0.09688840292,   -0.05065190061
              1.8,    0.04503004272,    0.02188460076
             1.82,     0.1892419008,    0.08462405775
             1.84,     0.3358154755,     0.1364324249
             1.86,     0.4849407966,     0.1761586239
             1.88,     0.6369617828,     0.2026149953
              1.9,     0.7924201598,     0.2145477583
             1.92,     0.9521105401,     0.2105916177
             1.94,      1.117136473,     0.1892004674
             1.96,      1.288939439,     0.1485476924
             1.98,      1.469258129,    0.08640119353
                2,      1.659996921, -6.266087129e-15
              nan,     -2.267662286,     -1.590071758
