             Time,          Y-Force,   Work integrand
             1.34,    -0.9558968094,     -3.625115664
             1.35,       -1.1096606,     -3.853300383
             1.36,     -1.267958977,     -4.077059924
             1.37,     -1.429936601,     -4.294083163
             1.38,     -1.594681044,     -4.502236139
             1.39,     -1.761282801,     -4.699748768
              1.4,     -1.928834143,     -4.885187323
             1.41,     -2.096336404,     -5.057177487
             1.42,     -2.262589083,      -5.21408121
             1.43,     -2.426139992,     -5.353861514
             1.44,     -2.585349947,     -5.474228868
             1.45,     -2.738640377,     -5.573280343
             1.46,     -2.884931782,     -5.650598815
             1.47,     -3.023866195,     -5.707590237
             1.48,     -3.155283144,     -5.745910844
             1.49,     -3.278400189,      -5.76549932
              1.5,      -3.39173567,     -5.764683496
             1.51,     -3.493763791,     -5.741859288
             1.52,     -3.583358839,     -5.696411227
             1.53,     -3.659736233,     -5.628457341
             1.54,     -3.722371841,     -5.538679929
             1.55,     -3.771081531,     -5.428513029
             1.56,     -3.805918401,     -5.299851763
             1.57,     -3.826926999,     -5.154410769
             1.58,     -3.834163999,     -4.993682443
             1.59,     -3.827913147,     -4.819285175
              1.6,     -3.808456657,     -4.632538671
             1.61,     -3.775567367,     -4.433736138
             1.62,     -3.728645739,     -4.222734449
             1.63,     -3.667551813,     -4.000515474
             1.64,     -3.593059752,      -3.76967379
             1.65,     -3.506445261,     -3.533397121
             1.66,     -3.408828278,     -3.294345549
             1.67,     -3.300800655,      -3.05416089
             1.68,     -3.182317982,     -2.813393765
             1.69,     -3.052942803,     -2.572060156
              1.7,     -2.912573516,     -2.330909155
             1.71,     -2.762095761,     -2.092278847
             1.72,     -2.603218365,     -1.859472722
             1.73,     -2.437683174,     -1.635246333
             1.74,     -2.266572365,     -1.420832993
             1.75,     -2.090152211,     -1.216193951
             1.76,      -1.90831487,      -1.02110061
             1.77,     -1.721290386,    -0.8361115732
             1.78,     -1.530144464,    -0.6627643996
             1.79,     -1.336706012,    -0.5029790086
              1.8,     -1.142939558,    -0.3582064586
             1.81,     -0.950241126,    -0.2289452177
             1.82,    -0.7592489939,    -0.1148901016
             1.83,    -0.5702486316,    -0.0154602849
             1.84,    -0.3836964797,    0.06977524116
             1.85,    -0.2004048645,     0.1410473172
             1.86,   -0.02133088313,     0.1986216685
             1.87,     0.1527174981,      0.243014263
             1.88,     0.3211864849,     0.2750034105
             1.89,     0.4837638119,     0.2955223906
              1.9,     0.6403541689,     0.3055466952
             1.91,       0.79086926,     0.3059605882
             1.92,     0.9347336943,     0.2974339303
             1.93,      1.070554875,     0.2804783211
             1.94,      1.196589033,     0.2557282337
             1.95,       1.31193672,     0.2241848945
             1.96,      1.417490907,     0.1871165091
             1.97,      1.515561658,     0.1456509113
             1.98,      1.608007904,     0.1004430878
             1.99,      1.694114456,    0.05177324597
                2,       1.77022395,  5.256129311e-14
              nan,     0.8781044218,     -2.295992518
