             Time,          Y-Force,   Work integrand,             Mass,       Mass error
                0, -3.668265725e-06,                0,     0.7853976819,              nan
     0.0009765625, -0.0001467306783, -1.950972697e-10,     0.7853976819,              nan
      0.001953125,  -0.000104016079, -8.514669231e-10,     0.7853976819,              nan
     0.0029296875, -0.0001502311603, -3.174146045e-09,     0.7853976819,              nan
       0.00390625, -0.0002450345395, -9.086239412e-09,     0.7853976819,              nan
     0.0048828125, -0.0003575409616, -2.057887993e-08,     0.7853976819,              nan
      0.005859375, -0.0005211422983, -4.140200322e-08,     0.7853976819,              nan
     0.0068359375, -0.0007082707528, -7.431636354e-08,     0.7853976819,              nan
        0.0078125, -0.0008961068933, -1.216216384e-07,     0.7853976819,              nan
     0.0087890625,  -0.001096795488, -1.876423128e-07,     0.7853976819,              nan
      0.009765625,  -0.001339495897, -2.796508172e-07,     0.7853976819,              nan
     0.0107421875,  -0.001637755771, -4.055585204e-07,     0.7853976819,              nan
       0.01171875,  -0.001976804013, -5.707404364e-07,     0.7853976819,              nan
     0.0126953125,  -0.002328985861, -7.776758196e-07,     0.7853976819,              nan
      0.013671875,  -0.002675793006, -1.028625669e-06,     0.7853976819,              nan
     0.0146484375,  -0.003018534391, -1.328937668e-06,     0.7853976819,              nan
         0.015625,  -0.003373943923,  -1.68839299e-06,     0.7853976819,              nan
     0.0166015625,  -0.003761926166, -2.119854241e-06,     0.7853976819,              nan
      0.017578125,   -0.00419497894, -2.636505505e-06,     0.7853976819,              nan
     0.0185546875,   -0.00467424436, -3.249529928e-06,     0.7853976819,              nan
       0.01953125,  -0.005191776909, -3.967324763e-06,     0.7853976819,              nan
     0.0205078125,  -0.005735975708, -4.796320214e-06,     0.7853976819,              nan
      0.021484375,  -0.006297087362,  -5.74280255e-06,     0.7853976819,              nan
     0.0224609375,  -0.006870788982, -6.814912686e-06,     0.7853976819,              nan
        0.0234375,  -0.007459095857, -8.024056263e-06,     0.7853976819,              nan
     0.0244140625,  -0.008068866986, -9.385237475e-06,     0.7853976819,              nan
      0.025390625,  -0.008708867952, -1.091623155e-05,     0.7853976819,              nan
     0.0263671875,  -0.009386589129, -1.263590101e-05,     0.7853976819,              nan
       0.02734375,   -0.01010583079, -1.456220654e-05,     0.7853976819,              nan
     0.0283203125,   -0.01086562956, -1.671051793e-05,     0.7853976819,              nan
      0.029296875,   -0.01166062275, -1.909272192e-05,     0.7853976819,              nan
     0.0302734375,   -0.01248256646, -2.171739682e-05,     0.7853976819,              nan
          0.03125,   -0.01332249513, -2.459104346e-05,     0.7853976819,              nan
     0.0322265625,   -0.01417293749, -2.772008985e-05,     0.7853976819,              nan
      0.033203125,   -0.01502966951,   -3.1113195e-05,     0.7853976819,              nan
     0.0341796875,   -0.01589264979, -3.478330618e-05,     0.7853976819,              nan
       0.03515625,   -0.01676599978, -3.874898094e-05,     0.7853976819,              nan
     0.0361328125,   -0.01765710699,  -4.30346457e-05,     0.7853976819,              nan
      0.037109375,   -0.01857510295, -4.766969112e-05,     0.7853976819,              nan
     0.0380859375,   -0.01952907367, -5.268656013e-05,     0.7853976819,              nan
