             Time,          Y-Force,   Work integrand
                0,  -0.004105243067,                0
            0.005,  -0.003086797041, -6.101455441e-07
             0.01, -0.0001162825063, -9.818396157e-06
            0.015,   0.004704081365, -4.809793604e-05
             0.02,    0.01127724705, -0.0001462522056
            0.025,    0.01952068551, -0.0003428492747
             0.03,    0.02933779341,  -0.000681778532
            0.035,    0.04064263901,  -0.001210268012
             0.04,    0.05338256786,  -0.001977255457
            0.045,    0.06749064809,  -0.003031452676
             0.05,    0.08288914546,  -0.004419909182
            0.055,    0.09951042915,  -0.006187057148
             0.06,     0.1172963508,  -0.008373778897
            0.065,     0.1361912661,    -0.0110165502
             0.07,     0.1561408292,   -0.01414682881
            0.075,     0.1770927406,   -0.01779066963
             0.08,     0.1989970583,   -0.02196843943
            0.085,     0.2218069516,   -0.02669462765
             0.09,     0.2454790112,   -0.03197783797
            0.095,     0.2699730091,   -0.03782099041
              0.1,     0.2952520686,   -0.04422167222
            0.105,     0.3212830953,   -0.05117253024
             0.11,     0.3480368217,   -0.05866165891
            0.115,     0.3754875364,   -0.06667304586
             0.12,     0.4036129582,   -0.07518713871
            0.125,     0.4323943094,   -0.08418153454
             0.13,     0.4618163528,   -0.09363170579
            0.135,     0.4918671143,    -0.1035116919
             0.14,     0.5225374286,    -0.1137947512
            0.145,     0.5538208134,    -0.1244540563
             0.15,     0.5857137095,    -0.1354634593
            0.155,     0.6182156974,    -0.1467982695
             0.16,     0.6513293707,      -0.15843598
            0.165,     0.6850597658,     -0.170356896
             0.17,     0.7194136508,    -0.1825446299
            0.175,     0.7543985004,    -0.1949863693
             0.18,     0.7900212294,     -0.207672846
            0.185,     0.8262868942,    -0.2205980338
             0.19,      0.863197259,    -0.2337585649
            0.195,      0.900749732,    -0.2471531304
              0.2,     0.9389375366,    -0.2607823741
            0.205,     0.9777501704,    -0.2746489468
             0.21,      1.017173917,    -0.2887576151
            0.215,      1.057192486,    -0.3031154657
             0.22,      1.097787688,    -0.3177320457
            0.225,      1.138939658,    -0.3326191424
             0.23,      1.180627562,    -0.3477906821
            0.235,      1.222829847,    -0.3632622212
             0.24,      1.265524575,    -0.3790504539
            0.245,      1.308689571,    -0.3951725606
             0.25,      1.352302503,     -0.411645437
            0.255,      1.396341137,    -0.4284851279
             0.26,       1.44078364,    -0.4457063795
            0.265,      1.485607996,    -0.4633215788
             0.27,      1.530792377,    -0.4813404326
            0.275,      1.576315111,    -0.4997693628
             0.28,      1.622154846,    -0.5186112709
            0.285,      1.668290135,    -0.5378649785
             0.29,      1.714699222,    -0.5575249752
            0.295,      1.761360092,    -0.5775816324
              0.3,      1.808249807,    -0.5980209122
            0.305,      1.855344054,    -0.6188242377
             0.31,      1.902617733,    -0.6399692609
            0.315,      1.950044911,    -0.6614300349
             0.32,      1.997598617,    -0.6831770552
            0.325,      2.045250801,    -0.7051774574
             0.33,      2.092972252,    -0.7273952183
            0.335,      2.140732083,    -0.7497911619
             0.34,      2.188497313,    -0.7723229874
            0.345,      2.236232612,    -0.7949454745
             0.35,      2.283899756,    -0.8176103672
            0.355,      2.331457496,    -0.8402665545
             0.36,      2.378861236,    -0.8628600117
            0.365,      2.426062799,    -0.8853338014
             0.37,      2.473011091,    -0.9076290891
            0.375,      2.519652202,    -0.9296855628
             0.38,      2.565929269,    -0.9514415139
            0.385,      2.611783078,    -0.9728346973
             0.39,      2.657152536,    -0.9938029551
            0.395,      2.701974978,     -1.014284519
              0.4,      2.746186202,      -1.03421803
