                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -1.0806460261E-04,    0.0000000000E+00,                 NaN,                  NaN
    4.9647741100E-05,   -1.0804763836E-04,    9.2234641572E-12,                 NaN,                  NaN
    1.4894322300E-04,   -1.0785992147E-04,    8.2794893714E-11,                 NaN,                  NaN
    3.4552828700E-04,   -1.0653410246E-04,    4.3886979756E-10,                 NaN,                  NaN
    7.2328819900E-04,   -9.8045353209E-05,    1.7668134949E-09,                 NaN,                  NaN
    1.4154227400E-03,   -5.0945643130E-05,    3.9697381238E-09,                 NaN,                  NaN
    2.6068785800E-03,    1.4735742188E-04,   -2.1890540022E-08,                 NaN,                  NaN
    4.5136523700E-03,    7.3016565215E-04,   -3.6377910625E-07,                 NaN,                  NaN
    7.3350145500E-03,    2.0624530535E-03,   -2.7698848141E-06,                 NaN,                  NaN
    1.1194297900E-02,    4.8449485890E-03,   -1.5068974169E-05,                 NaN,                  NaN
    1.6098938800E-02,    9.9582541515E-03,   -6.2832597595E-05,                 NaN,                  NaN
    2.1942636500E-02,    1.8218330625E-02,   -2.0792454118E-04,                 NaN,                  NaN
    2.8545562700E-02,    3.0226509023E-02,   -5.6510890186E-04,                 NaN,                  NaN
    3.5707338400E-02,    4.6249376614E-02,   -1.3036360437E-03,                 NaN,                  NaN
    4.3248190600E-02,    6.6261070198E-02,   -2.6299171747E-03,                 NaN,                  NaN
    5.1028676300E-02,    9.0060363197E-02,   -4.7611134732E-03,                 NaN,                  NaN
    5.8951666600E-02,    1.1734163388E-01,   -7.9012903963E-03,                 NaN,                  NaN
    6.6954950300E-02,    1.4776279488E-01,   -1.2224543311E-02,                 NaN,                  NaN
    7.5001316500E-02,    1.8101225604E-01,   -1.7866193611E-02,                 NaN,                  NaN
    8.3069770300E-02,    2.1685027006E-01,   -2.4921593013E-02,                 NaN,                  NaN
    9.1149066600E-02,    2.5508599658E-01,   -3.3446569564E-02,                 NaN,                  NaN
    9.9233465300E-02,    2.9553435592E-01,   -4.3457392471E-02,                 NaN,                  NaN
    1.0732016700E-01,    3.3800082667E-01,   -5.4932337251E-02,                 NaN,                  NaN
    1.1540786800E-01,    3.8230067353E-01,   -6.7815761222E-02,                 NaN,                  NaN
    1.2349598300E-01,    4.2828661819E-01,   -8.2024357376E-02,                 NaN,                  NaN
    1.3158426400E-01,    4.7587044383E-01,   -9.7456078715E-02,                 NaN,                  NaN
    1.3967260800E-01,    5.2502353992E-01,   -1.1400004834E-01,                 NaN,                  NaN
    1.4776097600E-01,    5.7576510575E-01,   -1.3154727523E-01,                 NaN,                  NaN
    1.5584935200E-01,    6.2814200234E-01,   -1.5000002549E-01,                 NaN,                  NaN
    1.6393773000E-01,    6.8220468877E-01,   -1.6927641792E-01,                 NaN,                  NaN
    1.7202611000E-01,    7.3798513392E-01,   -1.8931094151E-01,                 NaN,                  NaN
    1.8011449000E-01,    7.9548137667E-01,   -2.1005257756E-01,                 NaN,                  NaN
    1.8820287000E-01,    8.5465438097E-01,   -2.3146335759E-01,                 NaN,                  NaN
    1.9629125000E-01,    9.1543281244E-01,   -2.5351739437E-01,                 NaN,                  NaN
    2.0437963000E-01,    9.7773229497E-01,   -2.7620443666E-01,                 NaN,                  NaN
    2.1246801000E-01,    1.0414673192E+00,   -2.9953093093E-01,                 NaN,                  NaN
    2.2055639000E-01,    1.1065621379E+00,   -3.2352051585E-01,                 NaN,                  NaN
    2.2864477000E-01,    1.1729585881E+00,   -3.4821401141E-01,                 NaN,                  NaN
    2.3673315000E-01,    1.2406064499E+00,   -3.7366250613E-01,                 NaN,                  NaN
    2.4482153000E-01,    1.3094575820E+00,   -3.9992118620E-01,                 NaN,                  NaN
    2.5290991000E-01,    1.3794679525E+00,   -4.2704848863E-01,                 NaN,                  NaN
    2.6099829000E-01,    1.4506075742E+00,   -4.5511230141E-01,                 NaN,                  NaN
    2.6908667000E-01,    1.5228439182E+00,   -4.8417655793E-01,                 NaN,                  NaN
    2.7717505000E-01,    1.5961424202E+00,   -5.1429815017E-01,                 NaN,                  NaN
    2.8526343000E-01,    1.6704636439E+00,   -5.4552090841E-01,                 NaN,                  NaN
    2.9335181000E-01,    1.7457547972E+00,   -5.7786602795E-01,                 NaN,                  NaN
    3.0144019100E-01,    1.8219544843E+00,   -6.1133658377E-01,                 NaN,                  NaN
    3.0952857100E-01,    1.8989753673E+00,   -6.4590239083E-01,                 NaN,                  NaN
    3.1761695100E-01,    1.9767096002E+00,   -6.8150021256E-01,                 NaN,                  NaN
    3.2570533100E-01,    2.0550309325E+00,   -7.1803164784E-01,                 NaN,                  NaN
    3.3379371100E-01,    2.1337746705E+00,   -7.5534271311E-01,                 NaN,                  NaN
    3.4188209100E-01,    2.2127375639E+00,   -7.9322039651E-01,                 NaN,                  NaN
    3.4997047100E-01,    2.2916922479E+00,   -8.3141589606E-01,                 NaN,                  NaN
    3.5805885100E-01,    2.3703962799E+00,   -8.6966205622E-01,                 NaN,                  NaN
    3.6614723100E-01,    2.4486028933E+00,   -9.0768497832E-01,                 NaN,                  NaN
    3.7423561100E-01,    2.5260702410E+00,   -9.4522183814E-01,                 NaN,                  NaN
    3.8232399100E-01,    2.6024418849E+00,   -9.8188970288E-01,                 NaN,                  NaN
    3.9041237100E-01,    2.6773958425E+00,   -1.0173555108E+00,                 NaN,                  NaN
    3.9850075100E-01,    2.7506493546E+00,   -1.0513478059E+00,                 NaN,                  NaN
    4.0658913100E-01,    2.8219678695E+00,   -1.0836887854E+00,                 NaN,                  NaN
    4.1467751100E-01,    2.8909393844E+00,   -1.1140302618E+00,                 NaN,                  NaN
    4.2276589100E-01,    2.9573376722E+00,   -1.1422555846E+00,                 NaN,                  NaN
    4.3085427100E-01,    3.0209101586E+00,   -1.1682130124E+00,                 NaN,                  NaN
    4.3894265100E-01,    3.0813423341E+00,   -1.1916734557E+00,                 NaN,                  NaN
    4.4703103100E-01,    3.1384678961E+00,   -1.2126135389E+00,                 NaN,                  NaN
    4.5511941100E-01,    3.1921812698E+00,   -1.2310920465E+00,                 NaN,                  NaN
    4.6320779100E-01,    3.2421921395E+00,   -1.2469160580E+00,                 NaN,                  NaN
    4.7129617100E-01,    3.2881549377E+00,   -1.2597952922E+00,                 NaN,                  NaN
    4.7938455200E-01,    3.3298896850E+00,   -1.2696377884E+00,                 NaN,                  NaN
    4.8747293200E-01,    3.3672414224E+00,   -1.2763714186E+00,                 NaN,                  NaN
    4.9556131200E-01,    3.3999874974E+00,   -1.2798314379E+00,                 NaN,                  NaN
    5.0364969200E-01,    3.4278981909E+00,   -1.2798220057E+00,                 NaN,                  NaN
    5.1173807200E-01,    3.4507522525E+00,   -1.2761451842E+00,                 NaN,                  NaN
    5.1982645200E-01,    3.4683362471E+00,   -1.2686021940E+00,                 NaN,                  NaN
    5.2791483200E-01,    3.4804601366E+00,   -1.2570171043E+00,                 NaN,                  NaN
    5.3600321200E-01,    3.4869819094E+00,   -1.2412487494E+00,                 NaN,                  NaN
    5.4409159200E-01,    3.4879020540E+00,   -1.2213161655E+00,                 NaN,                  NaN
    5.5217997200E-01,    3.4832459219E+00,   -1.1973581199E+00,                 NaN,                  NaN
    5.6026835200E-01,    3.4728807368E+00,   -1.1693417297E+00,                 NaN,                  NaN
    5.6835673200E-01,    3.4566573035E+00,   -1.1371374552E+00,                 NaN,                  NaN
    5.7644511200E-01,    3.4345817199E+00,   -1.1007310096E+00,                 NaN,                  NaN
    5.8453349200E-01,    3.4068597113E+00,   -1.0603441835E+00,                 NaN,                  NaN
    5.9262187200E-01,    3.3738131338E+00,   -1.0163463150E+00,                 NaN,                  NaN
    6.0071025200E-01,    3.3358095614E+00,   -9.6914142788E-01,                 NaN,                  NaN
    6.0879863200E-01,    3.2932427748E+00,   -9.1912823045E-01,                 NaN,                  NaN
    6.1688701200E-01,    3.2465205553E+00,   -8.6667921146E-01,                 NaN,                  NaN
    6.2497539200E-01,    3.1960878691E+00,   -8.1218665670E-01,                 NaN,                  NaN
    6.3306377200E-01,    3.1424276114E+00,   -7.5608746445E-01,                 NaN,                  NaN
    6.4115215200E-01,    3.0860052590E+00,   -6.9874695438E-01,                 NaN,                  NaN
    6.4924053200E-01,    3.0272148984E+00,   -6.4036718245E-01,                 NaN,                  NaN
    6.5732891200E-01,    2.9663723091E+00,   -5.8103424355E-01,                 NaN,                  NaN
    6.6541729300E-01,    2.9037599528E+00,   -5.2078933926E-01,                 NaN,                  NaN
    6.7350567300E-01,    2.8396728319E+00,   -4.5968044528E-01,                 NaN,                  NaN
    6.8159405300E-01,    2.7744410667E+00,   -3.9778808430E-01,                 NaN,                  NaN
    6.8968243300E-01,    2.7084306713E+00,   -3.3523630883E-01,                 NaN,                  NaN
    6.9777081300E-01,    2.6420139819E+00,   -2.7217385675E-01,                 NaN,                  NaN
    7.0585919300E-01,    2.5755288531E+00,   -2.0874854334E-01,                 NaN,                  NaN
    7.1394757300E-01,    2.5092711150E+00,   -1.4509983918E-01,                 NaN,                  NaN
    7.2203595300E-01,    2.4434994882E+00,   -8.1377960906E-02,                 NaN,                  NaN
    7.3012433300E-01,    2.3784329916E+00,   -1.7729183314E-02,                 NaN,                  NaN
    7.3821271300E-01,    2.3142600968E+00,    4.5706494198E-02,                 NaN,                  NaN
    7.4630109300E-01,    2.2511555831E+00,    1.0879361479E-01,                 NaN,                  NaN
    7.5438947300E-01,    2.1892841232E+00,    1.7138696177E-01,                 NaN,                  NaN
    7.6247785300E-01,    2.1287968471E+00,    2.3331580483E-01,                 NaN,                  NaN
    7.7056623300E-01,    2.0698340637E+00,    2.9438916271E-01,                 NaN,                  NaN
    7.7865461300E-01,    2.0125231696E+00,    3.5439569724E-01,                 NaN,                  NaN
    7.8674299300E-01,    1.9569816970E+00,    4.1311350632E-01,                 NaN,                  NaN
    7.9483137300E-01,    1.9033087829E+00,    4.7031516195E-01,                 NaN,                  NaN
    8.0291975300E-01,    1.8515761461E+00,    5.2575748364E-01,                 NaN,                  NaN
    8.1100813300E-01,    1.8018325652E+00,    5.7918420657E-01,                 NaN,                  NaN
    8.1909651300E-01,    1.7541065266E+00,    6.3034018609E-01,                 NaN,                  NaN
    8.2718489300E-01,    1.7084031656E+00,    6.7897136891E-01,                 NaN,                  NaN
    8.3527327300E-01,    1.6647162251E+00,    7.2483317027E-01,                 NaN,                  NaN
    8.4336165400E-01,    1.6230345311E+00,    7.6769587450E-01,                 NaN,                  NaN
    8.5145003400E-01,    1.5833411825E+00,    8.0733542841E-01,                 NaN,                  NaN
    8.5953841400E-01,    1.5456100261E+00,    8.4353112357E-01,                 NaN,                  NaN
    8.6762679400E-01,    1.5097950093E+00,    8.7608943433E-01,                 NaN,                  NaN
    8.7571517400E-01,    1.4758251931E+00,    9.0485594344E-01,                 NaN,                  NaN
    8.8380355400E-01,    1.4436228026E+00,    9.2971436651E-01,                 NaN,                  NaN
    8.9189193400E-01,    1.4131124532E+00,    9.5057951140E-01,                 NaN,                  NaN
    8.9998031400E-01,    1.3842172396E+00,    9.6738467438E-01,                 NaN,                  NaN
    9.0806869400E-01,    1.3568350288E+00,    9.8007002712E-01,                 NaN,                  NaN
    9.1615707400E-01,    1.3308456221E+00,    9.8859933048E-01,                 NaN,                  NaN
    9.2424545400E-01,    1.3061040662E+00,    9.9294132747E-01,                 NaN,                  NaN
    9.3233383400E-01,    1.2824848439E+00,    9.9309026817E-01,                 NaN,                  NaN
    9.4042221400E-01,    1.2599024402E+00,    9.8906263902E-01,                 NaN,                  NaN
    9.4851059400E-01,    1.2382813055E+00,    9.8088238102E-01,                 NaN,                  NaN
    9.5659897400E-01,    1.2175571957E+00,    9.6861963187E-01,                 NaN,                  NaN
    9.6468735400E-01,    1.1976627940E+00,    9.5240501559E-01,                 NaN,                  NaN
    9.7277573400E-01,    1.1785394416E+00,    9.3239510006E-01,                 NaN,                  NaN
    9.8086411400E-01,    1.1601206627E+00,    9.0873712641E-01,                 NaN,                  NaN
    9.8895249400E-01,    1.1423575189E+00,    8.8160835811E-01,                 NaN,                  NaN
    9.9704087400E-01,    1.1251820344E+00,    8.5118864304E-01,                 NaN,                  NaN
    1.0051292500E+00,    1.1085157433E+00,    8.1765543363E-01,                 NaN,                  NaN
    1.0132176300E+00,    1.0922746145E+00,    7.8117890721E-01,                 NaN,                  NaN
    1.0213060100E+00,    1.0763593654E+00,    7.4190168782E-01,                 NaN,                  NaN
    1.0293943900E+00,    1.0606345759E+00,    6.9990852716E-01,                 NaN,                  NaN
    1.0374827700E+00,    1.0449397091E+00,    6.5523796933E-01,                 NaN,                  NaN
    1.0455711500E+00,    1.0291168553E+00,    6.0791348894E-01,                 NaN,                  NaN
    1.0536595300E+00,    1.0130011914E+00,    5.5794331907E-01,                 NaN,                  NaN
    1.0617479100E+00,    9.9639069075E-01,    5.0530633424E-01,                 NaN,                  NaN
    1.0698362900E+00,    9.7911216697E-01,    4.4998722944E-01,                 NaN,                  NaN
    1.0779246700E+00,    9.6101149188E-01,    3.9196264564E-01,                 NaN,                  NaN
    1.0860130500E+00,    9.4194824081E-01,    3.3119493971E-01,                 NaN,                  NaN
    1.0941014300E+00,    9.2184569180E-01,    2.6767880397E-01,                 NaN,                  NaN
    1.1021898100E+00,    9.0062623567E-01,    2.0140069337E-01,                 NaN,                  NaN
    1.1102782000E+00,    8.7821525777E-01,    1.3232424619E-01,                 NaN,                  NaN
    1.1183665800E+00,    8.5453793068E-01,    6.0353842959E-02,                 NaN,                  NaN
    1.1264549600E+00,    8.2946778115E-01,   -1.4696870919E-02,                 NaN,                  NaN
    1.1345433400E+00,    8.0284256097E-01,   -9.3080455057E-02,                 NaN,                  NaN
    1.1426317200E+00,    7.7445442816E-01,   -1.7512464913E-01,                 NaN,                  NaN
    1.1507201000E+00,    7.4404987994E-01,   -2.6122516111E-01,                 NaN,                  NaN
    1.1588084800E+00,    7.1136812501E-01,   -3.5181749579E-01,                 NaN,                  NaN
    1.1668968600E+00,    6.7610974455E-01,   -4.4739051390E-01,                 NaN,                  NaN
    1.1749852400E+00,    6.3793676198E-01,   -5.4845018652E-01,                 NaN,                  NaN
    1.1830736200E+00,    5.9646253376E-01,   -6.5552743888E-01,                 NaN,                  NaN
    1.1911620000E+00,    5.5138035645E-01,   -7.6913112679E-01,                 NaN,                  NaN
    1.1992503800E+00,    5.0232931982E-01,   -8.8969544766E-01,                 NaN,                  NaN
    1.2073387600E+00,    4.4896872288E-01,   -1.0175403469E+00,                 NaN,                  NaN
    1.2154271400E+00,    3.9103682622E-01,   -1.1528354279E+00,                 NaN,                  NaN
    1.2235155200E+00,    3.2829316244E-01,   -1.2956527297E+00,                 NaN,                  NaN
    1.2316039000E+00,    2.6064772343E-01,   -1.4459275914E+00,                 NaN,                  NaN
    1.2396922800E+00,    1.8785099364E-01,   -1.6035716120E+00,                 NaN,                  NaN
    1.2477806600E+00,    1.0967315380E-01,   -1.7683261778E+00,                 NaN,                  NaN
    1.2558690400E+00,    2.6127123119E-02,   -1.9397404551E+00,                 NaN,                  NaN
    1.2639574200E+00,   -6.2737529068E-02,   -2.1172821719E+00,                 NaN,                  NaN
    1.2720458000E+00,   -1.5683971078E-01,   -2.3003013674E+00,                 NaN,                  NaN
    1.2801341800E+00,   -2.5603251679E-01,   -2.4880034059E+00,                 NaN,                  NaN
    1.2882225600E+00,   -3.6008956834E-01,   -2.6794248497E+00,                 NaN,                  NaN
    1.2963109400E+00,   -4.6871858598E-01,   -2.8735059726E+00,                 NaN,                  NaN
    1.3043993200E+00,   -5.8155089325E-01,   -3.0690801494E+00,                 NaN,                  NaN
    1.3124877000E+00,   -6.9813195222E-01,   -3.2648417544E+00,                 NaN,                  NaN
    1.3205760800E+00,   -8.1794922737E-01,   -3.4594264330E+00,                 NaN,                  NaN
    1.3286644600E+00,   -9.4041605450E-01,   -3.6513530663E+00,                 NaN,                  NaN
    1.3367528400E+00,   -1.0648587051E+00,   -3.8389914448E+00,                 NaN,                  NaN
    1.3448412200E+00,   -1.1906132712E+00,   -4.0208567685E+00,                 NaN,                  NaN
    1.3529296000E+00,   -1.3169779487E+00,   -4.1954624054E+00,                 NaN,                  NaN
    1.3610179800E+00,   -1.4431796774E+00,   -4.3612092943E+00,                 NaN,                  NaN
    1.3691063600E+00,   -1.5683545657E+00,   -4.5163939904E+00,                 NaN,                  NaN
    1.3771947400E+00,   -1.6916776581E+00,   -4.6595508190E+00,                 NaN,                  NaN
    1.3852831200E+00,   -1.8125539445E+00,   -4.7897914852E+00,                 NaN,                  NaN
    1.3933715000E+00,   -1.9304973010E+00,   -4.9064674246E+00,                 NaN,                  NaN
    1.4014598800E+00,   -2.0447877780E+00,   -5.0086506287E+00,                 NaN,                  NaN
    1.4095482600E+00,   -2.1545881995E+00,   -5.0952865853E+00,                 NaN,                  NaN
    1.4176366400E+00,   -2.2591416356E+00,   -5.1654920639E+00,                 NaN,                  NaN
    1.4257250200E+00,   -2.3577935031E+00,   -5.2186591867E+00,                 NaN,                  NaN
    1.4338134000E+00,   -2.4499673324E+00,   -5.2543990899E+00,                 NaN,                  NaN
    1.4419017800E+00,   -2.5350866293E+00,   -5.2724510431E+00,                 NaN,                  NaN
    1.4499901600E+00,   -2.6125612455E+00,   -5.2726690075E+00,                 NaN,                  NaN
    1.4580785400E+00,   -2.6818328576E+00,   -5.2550205862E+00,                 NaN,                  NaN
    1.4661669200E+00,   -2.7422831795E+00,   -5.2195010132E+00,                 NaN,                  NaN
    1.4742553000E+00,   -2.7932851231E+00,   -5.1661711754E+00,                 NaN,                  NaN
    1.4823436800E+00,   -2.8342544765E+00,   -5.0951833824E+00,                 NaN,                  NaN
    1.4904320600E+00,   -2.8646740612E+00,   -5.0068086767E+00,                 NaN,                  NaN
    1.4985204400E+00,   -2.8841098152E+00,   -4.9014724735E+00,                 NaN,                  NaN
    1.5066088200E+00,   -2.8922261115E+00,   -4.7797741558E+00,                 NaN,                  NaN
    1.5146972000E+00,   -2.8888192926E+00,   -4.6424852929E+00,                 NaN,                  NaN
    1.5227855800E+00,   -2.8738274310E+00,   -4.4905526402E+00,                 NaN,                  NaN
    1.5308739600E+00,   -2.8473570782E+00,   -4.3251214940E+00,                 NaN,                  NaN
    1.5389623400E+00,   -2.8096924365E+00,   -4.1475372877E+00,                 NaN,                  NaN
    1.5470507200E+00,   -2.7612712413E+00,   -3.9593020779E+00,                 NaN,                  NaN
    1.5551391000E+00,   -2.7026905263E+00,   -3.7620557323E+00,                 NaN,                  NaN
    1.5632274800E+00,   -2.6346826114E+00,   -3.5575386360E+00,                 NaN,                  NaN
    1.5713158600E+00,   -2.5580973937E+00,   -3.3475506547E+00,                 NaN,                  NaN
    1.5794042400E+00,   -2.4738991759E+00,   -3.1339416812E+00,                 NaN,                  NaN
    1.5874926200E+00,   -2.3831481753E+00,   -2.9185799940E+00,                 NaN,                  NaN
    1.5955810000E+00,   -2.2869846936E+00,   -2.7033376015E+00,                 NaN,                  NaN
    1.6036693800E+00,   -2.1865829604E+00,   -2.4900140051E+00,                 NaN,                  NaN
    1.6117577600E+00,   -2.0831559668E+00,   -2.2803524719E+00,                 NaN,                  NaN
    1.6198461400E+00,   -1.9779672673E+00,   -2.0760615829E+00,                 NaN,                  NaN
    1.6279345200E+00,   -1.8723230367E+00,   -1.8787856964E+00,                 NaN,                  NaN
    1.6360229000E+00,   -1.7675692662E+00,   -1.6901032629E+00,                 NaN,                  NaN
    1.6441112800E+00,   -1.6650622207E+00,   -1.5115125518E+00,                 NaN,                  NaN
    1.6521996600E+00,   -1.5662108574E+00,   -1.3444400019E+00,                 NaN,                  NaN
    1.6602880400E+00,   -1.4724882328E+00,   -1.1902438355E+00,                 NaN,                  NaN
    1.6683764200E+00,   -1.3854272910E+00,   -1.0501796162E+00,                 NaN,                  NaN
    1.6764648000E+00,   -1.3065698821E+00,   -9.2533796051E-01,                 NaN,                  NaN
    1.6845531800E+00,   -1.2374579578E+00,   -8.1664369139E-01,                 NaN,                  NaN
    1.6926415600E+00,   -1.1796541592E+00,   -7.2487190556E-01,                 NaN,                  NaN
    1.7007299400E+00,   -1.1347218440E+00,   -6.5059954108E-01,                 NaN,                  NaN
    1.7088183200E+00,   -1.1041810796E+00,   -5.9414657776E-01,                 NaN,                  NaN
    1.7169067000E+00,   -1.0894965983E+00,   -5.5561751871E-01,                 NaN,                  NaN
    1.7249950800E+00,   -1.0921558497E+00,   -5.3498559309E-01,                 NaN,                  NaN
    1.7330834600E+00,   -1.1136153866E+00,   -5.3206832271E-01,                 NaN,                  NaN
    1.7411718400E+00,   -1.1552415408E+00,   -5.4643919520E-01,                 NaN,                  NaN
    1.7492602200E+00,   -1.2182210682E+00,   -5.7730872946E-01,                 NaN,                  NaN
    1.7573486000E+00,   -1.3034116494E+00,   -6.2345712837E-01,                 NaN,                  NaN
