                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -1.4740366897E-07,    0.0000000000E+00,                 NaN,                  NaN
    8.1868225500E-04,   -1.0582598655E-05,   -1.0634976340E-11,                 NaN,                  NaN
    2.4560467600E-03,   -9.0309663304E-05,   -8.1614080847E-10,                 NaN,                  NaN
    5.6665738000E-03,   -4.7225202531E-04,   -2.2681614229E-08,                 NaN,                  NaN
    1.1612931500E-02,   -1.9518405621E-03,   -3.9254573411E-07,                 NaN,                  NaN
    2.1707922200E-02,   -6.6663882189E-03,   -4.6609966470E-06,                 NaN,                  NaN
    3.7125925100E-02,   -1.8844061847E-02,   -3.8236910185E-05,                 NaN,                  NaN
    5.8215894200E-02,   -4.4178990354E-02,   -2.1805253334E-04,                 NaN,                  NaN
    8.4302662400E-02,   -8.7174852204E-02,   -8.9014746569E-04,                 NaN,                  NaN
    1.1406397200E-01,   -1.4847773615E-01,   -2.7324142163E-03,                 NaN,                  NaN
    1.4612597100E-01,   -2.2466531739E-01,   -6.6700998902E-03,                 NaN,                  NaN
    1.7944364300E-01,   -3.1009413779E-01,   -1.3633743015E-02,                 NaN,                  NaN
    2.1337155000E-01,   -3.9897127491E-01,   -2.4339416452E-02,                 NaN,                  NaN
    2.4756772700E-01,   -4.8693332170E-01,   -3.9224738615E-02,                 NaN,                  NaN
    2.8187165900E-01,   -5.7124871383E-01,   -5.8485057828E-02,                 NaN,                  NaN
    3.1621535800E-01,   -6.5061276399E-01,   -8.2155435778E-02,                 NaN,                  NaN
    3.5057257600E-01,   -7.2485958244E-01,   -1.1020574613E-01,                 NaN,                  NaN
    3.8493403500E-01,   -7.9453553460E-01,   -1.4260589478E-01,                 NaN,                  NaN
    4.1929672100E-01,   -8.6061153547E-01,   -1.7937491670E-01,                 NaN,                  NaN
    4.5365973400E-01,   -9.2429467714E-01,   -2.2061612314E-01,                 NaN,                  NaN
    4.8802282900E-01,   -9.8684937298E-01,   -2.6652481030E-01,                 NaN,                  NaN
    5.2238594200E-01,   -1.0494335885E+00,   -3.1736585505E-01,                 NaN,                  NaN
    5.5674905900E-01,   -1.1130219172E+00,   -3.7344428002E-01,                 NaN,                  NaN
    5.9111217600E-01,   -1.1783836410E+00,   -4.3507506575E-01,                 NaN,                  NaN
    6.2547529400E-01,   -1.2460734381E+00,   -5.0254825775E-01,                 NaN,                  NaN
    6.5983841100E-01,   -1.3164308793E+00,   -5.7609177889E-01,                 NaN,                  NaN
    6.9420152900E-01,   -1.3895910646E+00,   -6.5583647040E-01,                 NaN,                  NaN
    7.2856464700E-01,   -1.4655001560E+00,   -7.4178424065E-01,                 NaN,                  NaN
    7.6292776400E-01,   -1.5439451953E+00,   -8.3378685395E-01,                 NaN,                  NaN
    7.9729088200E-01,   -1.6245581933E+00,   -9.3151689144E-01,                 NaN,                  NaN
    8.3165400000E-01,   -1.7068263738E+00,   -1.0344450969E+00,                 NaN,                  NaN
    8.6601711700E-01,   -1.7900845956E+00,   -1.1418111246E+00,                 NaN,                  NaN
    9.0038023500E-01,   -1.8734811501E+00,   -1.2525787347E+00,                 NaN,                  NaN
    9.3474335300E-01,   -1.9559446280E+00,   -1.3653903936E+00,                 NaN,                  NaN
    9.6910647000E-01,   -2.0361452258E+00,   -1.4785186731E+00,                 NaN,                  NaN
    1.0034695900E+00,   -2.1124606926E+00,   -1.5898234069E+00,                 NaN,                  NaN
    1.0378327100E+00,   -2.1829726623E+00,   -1.6967382726E+00,                 NaN,                  NaN
    1.0721958200E+00,   -2.2455825281E+00,   -1.7963660120E+00,                 NaN,                  NaN
    1.1065589400E+00,   -2.2981378342E+00,   -1.8856120559E+00,                 NaN,                  NaN
    1.1409220600E+00,   -2.3387919151E+00,   -1.9615409033E+00,                 NaN,                  NaN
    1.1752851800E+00,   -2.3662850882E+00,   -2.0217090168E+00,                 NaN,                  NaN
    1.2096482900E+00,   -2.3799941606E+00,   -2.0643141263E+00,                 NaN,                  NaN
    1.2440114100E+00,   -2.3796737314E+00,   -2.0880584349E+00,                 NaN,                  NaN
    1.2783745300E+00,   -2.3649267450E+00,   -2.0917367566E+00,                 NaN,                  NaN
    1.3127376500E+00,   -2.3350161463E+00,   -2.0740994986E+00,                 NaN,                  NaN
    1.3471007600E+00,   -2.2891811431E+00,   -2.0341723580E+00,                 NaN,                  NaN
    1.3814638800E+00,   -2.2268924235E+00,   -1.9715356529E+00,                 NaN,                  NaN
    1.4158270000E+00,   -2.1479148643E+00,   -1.8864277982E+00,                 NaN,                  NaN
    1.4501901200E+00,   -2.0522268819E+00,   -1.7797092584E+00,                 NaN,                  NaN
    1.4845532400E+00,   -1.9399241169E+00,   -1.6528040761E+00,                 NaN,                  NaN
    1.5189163500E+00,   -1.8111963070E+00,   -1.5077005656E+00,                 NaN,                  NaN
    1.5532794700E+00,   -1.6665187586E+00,   -1.3471209365E+00,                 NaN,                  NaN
    1.5876425900E+00,   -1.5063921721E+00,   -1.1742987518E+00,                 NaN,                  NaN
    1.6220057100E+00,   -1.3315529792E+00,   -9.9313826087E-01,                 NaN,                  NaN
    1.6563688200E+00,   -1.1428318839E+00,   -8.0807238563E-01,                 NaN,                  NaN
    1.6907319400E+00,   -9.4117970516E-01,   -6.2404858176E-01,                 NaN,                  NaN
    1.7250950600E+00,   -7.2773886642E-01,   -4.4652465324E-01,                 NaN,                  NaN
    1.7594581800E+00,   -5.0367067846E-01,   -2.8129138213E-01,                 NaN,                  NaN
    1.7938212900E+00,   -2.7009903499E-01,   -1.3439603484E-01,                 NaN,                  NaN
    1.8281844100E+00,   -2.8134036916E-02,   -1.2117021624E-02,                 NaN,                  NaN
    1.8625475300E+00,    2.2147615836E-01,    7.9205533549E-02,                 NaN,                  NaN
    1.8969106500E+00,    4.7856549201E-01,    1.3314050664E-01,                 NaN,                  NaN
    1.9312737600E+00,    7.4392840839E-01,    1.4302193299E-01,                 NaN,                  NaN
    1.9656368800E+00,    1.0198285916E+00,    1.0155179189E-01,                 NaN,                  NaN
    2.0000000000E+00,    1.3106355625E+00,    0.0000000000E+00,                 NaN,                  NaN
                 NaN,   -2.3692173904E+00,   -1.6577336567E+00,                 NaN,                  NaN
